,lon,lat,address
90,-76.60943,39.3285,"md-45 & e 33rd st, baltimore, md 21218, usa"
91,-76.61156,39.29184,"210 guilford ave, baltimore, md 21202, usa"
92,NA,NA,NA
93,-76.66464,39.29604,"711 poplar grove st, baltimore, md 21216, usa"
94,-76.63345,39.30569,"1740 druid hill ave, baltimore, md 21217, usa"
95,-76.55577,39.28652,"503 oldham st, baltimore, md 21224, usa"
96,-76.61164,39.31219,"323 e 20th st, baltimore, md 21218, usa"
97,-76.59938,39.31193,"e north ave & harford rd, baltimore, md 21213, usa"
98,-76.63294,39.28113,"1170 carroll st, baltimore, md 21230, usa"
99,-76.6522,39.2871,"2174 hollins st, baltimore, md 21223, usa"
100,-76.62999,39.28281,"837 washington blvd, baltimore, md 21230, usa"
101,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
102,-76.59362,39.28413,"610 s broadway, baltimore, md 21231, usa"
103,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
104,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
105,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
106,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
107,-76.61618,39.27787,"114 w hamburg st, baltimore, md 21230, usa"
108,-76.59897,39.31208,"1400 e north ave, baltimore, md 21213, usa"
109,-76.6277,39.28289,"759 washington blvd, baltimore, md 21230, usa"
110,-76.61315,39.31457,"210 e 22nd st, baltimore, md 21218, usa"
111,-76.62229,39.25043,"600 cherry hill rd, baltimore, md 21225, usa"
112,-76.65192,39.33101,"2222 druid park dr, baltimore, md 21211, usa"
113,-76.61215,39.28772,"106 s calvert st, baltimore, md 21202, usa"
114,-76.60231,39.31153,"1207 e north ave, baltimore, md 21202, usa"
115,-76.65112,39.28191,"ashton st & s smallwood st, baltimore, md 21223, usa"
116,-76.58721,39.29755,"mcelderry st & n duncan st, baltimore, md 21205, usa"
117,-76.63011,39.27876,"900 w ostend st, baltimore, md 21230, usa"
118,-76.62527,39.31944,"600 w 28th st, baltimore, md 21211, usa"
119,-76.58971,39.30068,"n washington st & ashland ave, baltimore, md 21205, usa"
120,-76.59625,39.31615,"2310 harford rd, baltimore, md 21218, usa"
121,-76.66445,39.33381,"4000 reisterstown rd, baltimore, md 21215, usa"
122,-76.62797,39.31074,"us-1 & park ave, baltimore, md 21217, usa"
123,-76.61978,39.295,"500 n howard st, baltimore, md 21201, usa"
124,-76.63773,39.28606,"115 s carey st, baltimore, md 21223, usa"
125,-76.64068,39.29292,"1425 w mulberry st, baltimore, md 21223, usa"
126,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
127,-76.57325,39.32159,"3301 belair rd, baltimore, md 21213, usa"
128,NA,NA,NA
129,-76.5796,39.2977,"540 n lakewood ave, baltimore, md 21205, usa"
130,-76.59303,39.28484,"529 s broadway, baltimore, md 21231, usa"
131,-76.60892,39.3061,"1400 greenmount ave, baltimore, md 21202, usa"
132,-76.66576,39.33937,"4337 park heights ave, baltimore, md 21215, usa"
133,-76.60908,39.35901,"528 benninghaus rd, baltimore, md 21212, usa"
134,-76.59322,39.32299,"2798 the alameda, baltimore, md 21218, usa"
135,-76.64685,39.28252,"416 s monroe st, baltimore, md 21223, usa"
136,-76.608,39.32781,"601 e 33rd st, baltimore, md 21218, usa"
137,-76.59104,39.33256,"3500 hillen rd, baltimore, md 21218, usa"
138,-76.61308,39.27711,"38 e cross st, baltimore, md 21230, usa"
139,-76.63745,39.28677,"1224 w lombard st, baltimore, md 21223, usa"
140,-76.63269,39.28603,"910 w pratt st, baltimore, md 21223, usa"
141,-76.59418,39.28937,"1644 e pratt st, baltimore, md 21231, usa"
142,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
143,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
144,-76.61334,39.30819,"1617 n calvert st, baltimore, md 21202, usa"
145,-76.66323,39.33447,"4000 park heights ave, baltimore, md 21215, usa"
146,-76.61696,39.29629,"w centre st & cathedral st, baltimore, md 21201, usa"
147,-76.59258,39.35356,"1301 woodbourne ave, baltimore, md 21239, usa"
148,-76.62269,39.29879,"801 mcculloh st, baltimore, md 21201, usa"
149,-76.59396,39.28615,"412 s broadway, baltimore, md 21231, usa"
150,-76.63395,39.30725,"1904 mcculloh st, baltimore, md 21217, usa"
151,-76.64517,39.29269,"325 n fulton ave, baltimore, md 21223, usa"
152,-76.65347,39.29095,"200 n bentalou st, baltimore, md 21223, usa"
153,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
154,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
155,-76.63244,39.3309,"929 w 36th st, baltimore, md 21211, usa"
156,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
157,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
158,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
159,-76.63814,39.30655,"2043 pennsylvania ave, baltimore, md 21217, usa"
160,-76.65387,39.30545,"1530 n bentalou st, baltimore, md 21216, usa"
161,-76.56212,39.2869,"4100 eastern ave, baltimore, md 21224, usa"
